time	V(n009)
5.481847174246166e-002	-1.004106e+001
5.491612799246166e-002	-1.004071e+001
5.520909674246166e-002	-1.003965e+001
5.550206549246167e-002	-1.003860e+001
5.579503424246167e-002	-1.003756e+001
5.608800299246167e-002	-1.003652e+001
5.638097174246168e-002	-1.003549e+001
5.667394049246168e-002	-1.003447e+001
5.696690924246169e-002	-1.003345e+001
5.725987799246169e-002	-1.003244e+001
5.755284674246169e-002	-1.003144e+001
5.784581549246170e-002	-1.003045e+001
5.813878424246170e-002	-1.002946e+001
5.833409674246171e-002	-1.002881e+001
5.862706549246171e-002	-1.002783e+001
5.892003424246171e-002	-1.002686e+001
5.921300299246172e-002	-1.002590e+001
5.950597174246172e-002	-1.002494e+001
5.979894049246173e-002	-1.002399e+001
6.009190924246173e-002	-1.002304e+001
6.038487799246173e-002	-1.002210e+001
6.067784674246174e-002	-1.002117e+001
6.097081549246174e-002	-1.002025e+001
6.106847174246174e-002	-1.001994e+001
6.116612799246175e-002	-1.001963e+001
6.126378424246175e-002	-1.001937e+001
6.136144049246175e-002	-1.001943e+001
6.145909674246175e-002	-1.002057e+001
6.155675299246175e-002	-1.002347e+001
6.165440924246175e-002	-1.002798e+001
6.175206549246175e-002	-1.003296e+001
6.184972174246176e-002	-1.003697e+001
6.194737799246176e-002	-1.003915e+001
6.204503424246176e-002	-1.003975e+001
6.214269049246176e-002	-1.003969e+001
6.224034674246176e-002	-1.003981e+001
6.233800299246176e-002	-1.004045e+001
6.243565924246176e-002	-1.004145e+001
6.253331549246176e-002	-1.004238e+001
6.263097174246175e-002	-1.004283e+001
6.272862799246175e-002	-1.004278e+001
6.282628424246174e-002	-1.004247e+001
6.292394049246174e-002	-1.004211e+001
6.302159674246173e-002	-1.004175e+001
6.311925299246173e-002	-1.004140e+001
6.321690924246172e-002	-1.004104e+001
6.350987799246170e-002	-1.003998e+001
6.380284674246169e-002	-1.003893e+001
6.409581549246167e-002	-1.003788e+001
6.438878424246165e-002	-1.003685e+001
6.458409674246164e-002	-1.003616e+001
6.477940924246163e-002	-1.003547e+001
6.497472174246162e-002	-1.003479e+001
6.507237799246161e-002	-1.003445e+001
6.517003424246161e-002	-1.003411e+001
6.526769049246160e-002	-1.003377e+001
6.536534674246160e-002	-1.003343e+001
6.546300299246159e-002	-1.003310e+001
6.556065924246159e-002	-1.003276e+001
6.565831549246158e-002	-1.003243e+001
6.575597174246158e-002	-1.003209e+001
6.585362799246157e-002	-1.003176e+001
6.595128424246156e-002	-1.003142e+001
6.604894049246156e-002	-1.003109e+001
6.614659674246155e-002	-1.003076e+001
6.624425299246155e-002	-1.003043e+001
6.634190924246154e-002	-1.003010e+001
6.643956549246154e-002	-1.002977e+001
6.653722174246153e-002	-1.002944e+001
6.663487799246153e-002	-1.002911e+001
6.673253424246152e-002	-1.002879e+001
6.683019049246151e-002	-1.002846e+001
6.692784674246151e-002	-1.002814e+001
6.702550299246150e-002	-1.002781e+001
6.712315924246150e-002	-1.002749e+001
6.722081549246149e-002	-1.002716e+001
6.731847174246149e-002	-1.002684e+001
6.741612799246148e-002	-1.002652e+001
6.751378424246148e-002	-1.002620e+001
6.761144049246147e-002	-1.002588e+001
6.770909674246146e-002	-1.002556e+001
6.780675299246146e-002	-1.002524e+001
6.790440924246145e-002	-1.002492e+001
6.800206549246145e-002	-1.002460e+001
6.809972174246144e-002	-1.002429e+001
6.819737799246144e-002	-1.002397e+001
6.829503424246143e-002	-1.002365e+001
6.839269049246143e-002	-1.002334e+001
6.858800299246141e-002	-1.002271e+001
6.878331549246140e-002	-1.002209e+001
6.897862799246139e-002	-1.002146e+001
6.927159674246138e-002	-1.002054e+001
6.936925299246137e-002	-1.002023e+001
6.946690924246136e-002	-1.001992e+001
6.956456549246136e-002	-1.001962e+001
6.966222174246135e-002	-1.001950e+001
6.975987799246135e-002	-1.002012e+001
6.985753424246134e-002	-1.002228e+001
6.995519049246134e-002	-1.002623e+001
7.005284674246133e-002	-1.003116e+001
7.015050299246133e-002	-1.003566e+001
7.024815924246132e-002	-1.003855e+001
7.034581549246131e-002	-1.003965e+001
7.044347174246131e-002	-1.003974e+001
7.054112799246130e-002	-1.003981e+001
7.063878424246130e-002	-1.004032e+001
7.073644049246129e-002	-1.004119e+001
7.083409674246129e-002	-1.004208e+001
7.093175299246128e-002	-1.004260e+001
7.102940924246128e-002	-1.004264e+001
7.112706549246127e-002	-1.004236e+001
7.122472174246126e-002	-1.004200e+001
7.132237799246126e-002	-1.004165e+001
7.142003424246125e-002	-1.004129e+001
7.151769049246125e-002	-1.004094e+001
7.181065924246123e-002	-1.003988e+001
7.210362799246121e-002	-1.003883e+001
7.239659674246120e-002	-1.003778e+001
7.268956549246118e-002	-1.003674e+001
7.298253424246116e-002	-1.003571e+001
7.327550299246115e-002	-1.003469e+001
7.356847174246113e-002	-1.003367e+001
7.386144049246111e-002	-1.003266e+001
7.415440924246110e-002	-1.003166e+001
7.444737799246108e-002	-1.003066e+001
7.474034674246106e-002	-1.002967e+001
7.503331549246105e-002	-1.002869e+001
7.532628424246103e-002	-1.002771e+001
7.561925299246101e-002	-1.002674e+001
7.591222174246100e-002	-1.002578e+001
7.620519049246098e-002	-1.002483e+001
7.649815924246096e-002	-1.002388e+001
7.679112799246095e-002	-1.002293e+001
7.708409674246093e-002	-1.002199e+001
7.737706549246091e-002	-1.002106e+001
7.767003424246090e-002	-1.002014e+001
7.776769049246089e-002	-1.001983e+001
7.786534674246089e-002	-1.001953e+001
7.796300299246088e-002	-1.001932e+001
7.806065924246088e-002	-1.001964e+001
7.815831549246087e-002	-1.002130e+001
7.825597174246086e-002	-1.002481e+001
7.835362799246086e-002	-1.002965e+001
7.845128424246085e-002	-1.003447e+001
