# time	V(n009)
4.554627103720867e-002	-9.941486e+000
4.564392728720867e-002	-9.942358e+000
4.574158353720867e-002	-9.943781e+000
4.583923978720867e-002	-9.945166e+000
4.593689603720867e-002	-9.945935e+000
4.603455228720867e-002	-9.945948e+000
4.613220853720867e-002	-9.945527e+000
4.622986478720868e-002	-9.945005e+000
4.632752103720868e-002	-9.944482e+000
4.642517728720868e-002	-9.943957e+000
4.652283353720868e-002	-9.943432e+000
4.681580228720868e-002	-9.941852e+000
4.710877103720869e-002	-9.940263e+000
4.740173978720869e-002	-9.938665e+000
4.769470853720870e-002	-9.937057e+000
4.789002103720870e-002	-9.935980e+000
4.808533353720870e-002	-9.934898e+000
4.828064603720871e-002	-9.933810e+000
4.837830228720871e-002	-9.933264e+000
4.847595853720871e-002	-9.932716e+000
4.857361478720871e-002	-9.932168e+000
4.867127103720871e-002	-9.931617e+000
4.876892728720871e-002	-9.931065e+000
4.886658353720871e-002	-9.930511e+000
4.896423978720872e-002	-9.929955e+000
4.906189603720872e-002	-9.929398e+000
4.915955228720872e-002	-9.928839e+000
4.925720853720872e-002	-9.928277e+000
4.935486478720872e-002	-9.927714e+000
4.945252103720872e-002	-9.927149e+000
4.955017728720872e-002	-9.926582e+000
4.964783353720872e-002	-9.926013e+000
4.974548978720873e-002	-9.925442e+000
4.984314603720873e-002	-9.924868e+000
4.994080228720873e-002	-9.924292e+000
5.003845853720873e-002	-9.923714e+000
5.013611478720873e-002	-9.923134e+000
5.023377103720873e-002	-9.922550e+000
5.033142728720873e-002	-9.921965e+000
5.042908353720874e-002	-9.921376e+000
5.052673978720874e-002	-9.920785e+000
5.062439603720874e-002	-9.920191e+000
5.072205228720874e-002	-9.919594e+000
5.081970853720874e-002	-9.918994e+000
5.091736478720874e-002	-9.918390e+000
5.101502103720874e-002	-9.917785e+000
5.111267728720875e-002	-9.917175e+000
5.121033353720875e-002	-9.916563e+000
5.130798978720875e-002	-9.915946e+000
5.140564603720875e-002	-9.915326e+000
5.150330228720875e-002	-9.914702e+000
5.160095853720875e-002	-9.914075e+000
5.169861478720875e-002	-9.913443e+000
5.189392728720876e-002	-9.912168e+000
5.208923978720876e-002	-9.910874e+000
5.228455228720876e-002	-9.909563e+000
5.257752103720877e-002	-9.907558e+000
5.277283353720877e-002	-9.906194e+000
5.287048978720877e-002	-9.905511e+000
5.296814603720877e-002	-9.905070e+000
5.306580228720877e-002	-9.905915e+000
5.316345853720877e-002	-9.909660e+000
5.326111478720878e-002	-9.916772e+000
5.335877103720878e-002	-9.925598e+000
5.345642728720878e-002	-9.933569e+000
5.355408353720878e-002	-9.938838e+000
5.365173978720878e-002	-9.941088e+000
5.374939603720878e-002	-9.941458e+000
5.384705228720878e-002	-9.941502e+000
5.394470853720879e-002	-9.942074e+000
5.404236478720879e-002	-9.943225e+000
5.414002103720879e-002	-9.944567e+000
5.423767728720879e-002	-9.945530e+000
5.433533353720879e-002	-9.945774e+000
5.443298978720879e-002	-9.945464e+000
5.453064603720879e-002	-9.944962e+000
5.462830228720880e-002	-9.944439e+000
5.472595853720880e-002	-9.943914e+000
5.482361478720880e-002	-9.943389e+000
5.492127103720880e-002	-9.942863e+000
5.521423978720880e-002	-9.941279e+000
5.550720853720881e-002	-9.939688e+000
5.580017728720881e-002	-9.938087e+000
5.609314603720882e-002	-9.936476e+000
5.638611478720882e-002	-9.934854e+000
5.667908353720882e-002	-9.933220e+000
5.697205228720883e-002	-9.931572e+000
5.726502103720883e-002	-9.929910e+000
5.755798978720884e-002	-9.928232e+000
5.785095853720884e-002	-9.926536e+000
5.814392728720885e-002	-9.924822e+000
5.833923978720885e-002	-9.923667e+000
5.863220853720885e-002	-9.921917e+000
5.892517728720886e-002	-9.920142e+000
5.921814603720886e-002	-9.918342e+000
5.951111478720886e-002	-9.916512e+000
5.980408353720887e-002	-9.914652e+000
6.009705228720887e-002	-9.912756e+000
6.039002103720888e-002	-9.910822e+000
6.068298978720888e-002	-9.908846e+000
6.097595853720889e-002	-9.906823e+000
6.107361478720889e-002	-9.906138e+000
6.117127103720889e-002	-9.905447e+000
6.126892728720889e-002	-9.904864e+000
6.136658353720889e-002	-9.905150e+000
6.146423978720889e-002	-9.907927e+000
6.156189603720889e-002	-9.914211e+000
6.165955228720890e-002	-9.922888e+000
6.175720853720890e-002	-9.931418e+000
6.185486478720890e-002	-9.937613e+000
6.195252103720890e-002	-9.940694e+000
6.205017728720890e-002	-9.941439e+000
6.214783353720890e-002	-9.941376e+000
6.224548978720890e-002	-9.941660e+000
6.234314603720891e-002	-9.942663e+000
6.244080228720891e-002	-9.944128e+000
6.253845853720891e-002	-9.945424e+000
6.263611478720890e-002	-9.946012e+000
6.273377103720890e-002	-9.945889e+000
6.283142728720889e-002	-9.945430e+000
6.292908353720889e-002	-9.944906e+000
6.302673978720888e-002	-9.944383e+000
6.312439603720887e-002	-9.943859e+000
6.322205228720887e-002	-9.943334e+000
6.351502103720885e-002	-9.941751e+000
6.380798978720884e-002	-9.940163e+000
6.410095853720882e-002	-9.938564e+000
6.439392728720880e-002	-9.936957e+000
6.458923978720879e-002	-9.935879e+000
6.478455228720878e-002	-9.934796e+000
6.497986478720877e-002	-9.933708e+000
6.507752103720876e-002	-9.933161e+000
6.517517728720876e-002	-9.932613e+000
6.527283353720875e-002	-9.932064e+000
6.537048978720875e-002	-9.931514e+000
6.546814603720874e-002	-9.930961e+000
6.556580228720874e-002	-9.930407e+000
6.566345853720873e-002	-9.929850e+000
6.576111478720872e-002	-9.929293e+000
6.585877103720872e-002	-9.928733e+000
6.595642728720871e-002	-9.928171e+000
6.605408353720871e-002	-9.927608e+000
6.615173978720870e-002	-9.927043e+000
6.624939603720870e-002	-9.926476e+000
6.634705228720869e-002	-9.925906e+000
6.644470853720869e-002	-9.925334e+000
6.654236478720868e-002	-9.924761e+000
6.664002103720867e-002	-9.924184e+000
6.673767728720867e-002	-9.923605e+000
6.683533353720866e-002	-9.923024e+000
6.693298978720866e-002	-9.922441e+000
6.703064603720865e-002	-9.921854e+000
6.712830228720865e-002	-9.921265e+000
6.722595853720864e-002	-9.920673e+000
6.732361478720864e-002	-9.920078e+000
6.742127103720863e-002	-9.919481e+000
6.751892728720862e-002	-9.918880e+000
6.761658353720862e-002	-9.918278e+000
6.771423978720861e-002	-9.917671e+000
6.781189603720861e-002	-9.917061e+000
6.790955228720860e-002	-9.916447e+000
6.800720853720860e-002	-9.915830e+000
6.810486478720859e-002	-9.915209e+000
6.820252103720859e-002	-9.914585e+000
6.830017728720858e-002	-9.913957e+000
6.839783353720857e-002	-9.913324e+000
6.859314603720856e-002	-9.912046e+000
6.878845853720855e-002	-9.910752e+000
6.898377103720854e-002	-9.909439e+000
6.927673978720852e-002	-9.907432e+000
6.937439603720852e-002	-9.906751e+000
6.947205228720851e-002	-9.906065e+000
6.956970853720851e-002	-9.905408e+000
6.966736478720850e-002	-9.905224e+000
6.976502103720850e-002	-9.906861e+000
6.986267728720849e-002	-9.911757e+000
6.996033353720849e-002	-9.919661e+000
7.005798978720848e-002	-9.928435e+000
7.015564603720847e-002	-9.935630e+000
7.025330228720847e-002	-9.939857e+000
7.035095853720846e-002	-9.941294e+000
7.044861478720846e-002	-9.941333e+000
7.054627103720845e-002	-9.941459e+000
7.064392728720845e-002	-9.942311e+000
7.074158353720844e-002	-9.943707e+000
7.083923978720844e-002	-9.945070e+000
7.093689603720843e-002	-9.945833e+000
7.103455228720843e-002	-9.945848e+000
7.113220853720842e-002	-9.945428e+000
7.122986478720841e-002	-9.944905e+000
7.132752103720841e-002	-9.944382e+000
7.142517728720840e-002	-9.943857e+000
7.152283353720840e-002	-9.943333e+000
7.181580228720838e-002	-9.941751e+000
7.210877103720836e-002	-9.940162e+000
7.240173978720835e-002	-9.938563e+000
7.269470853720833e-002	-9.936956e+000
7.298767728720831e-002	-9.935337e+000
7.328064603720830e-002	-9.933706e+000
7.357361478720828e-002	-9.932063e+000
7.386658353720826e-002	-9.930405e+000
7.415955228720825e-002	-9.928732e+000
7.445252103720823e-002	-9.927042e+000
7.474548978720821e-002	-9.925333e+000
7.503845853720820e-002	-9.923604e+000
7.533142728720818e-002	-9.921852e+000
7.562439603720816e-002	-9.920077e+000
7.591736478720815e-002	-9.918276e+000
7.621033353720813e-002	-9.916446e+000
7.650330228720811e-002	-9.914583e+000
7.679627103720810e-002	-9.912686e+000
7.708923978720808e-002	-9.910751e+000
7.738220853720806e-002	-9.908773e+000
7.767517728720805e-002	-9.906750e+000
7.777283353720804e-002	-9.906063e+000
7.787048978720804e-002	-9.905382e+000
7.796814603720803e-002	-9.904961e+000
7.806580228720803e-002	-9.905865e+000
7.816345853720802e-002	-9.909707e+000
7.826111478720801e-002	-9.916914e+000
7.835877103720801e-002	-9.925782e+000
7.845642728720800e-002	-9.933731e+000
7.855408353720800e-002	-9.938941e+000
7.865173978720799e-002	-9.941132e+000
7.874939603720799e-002	-9.941476e+000
7.884705228720798e-002	-9.941532e+000
7.894470853720798e-002	-9.942139e+000
7.904236478720797e-002	-9.943319e+000
7.914002103720796e-002	-9.944672e+000
7.923767728720796e-002	-9.945627e+000
7.933533353720795e-002	-9.945857e+000
7.943298978720795e-002	-9.945539e+000
7.953064603720794e-002	-9.945034e+000
7.962830228720794e-002	-9.944511e+000
7.972595853720793e-002	-9.943987e+000
7.982361478720793e-002	-9.943461e+000
7.992127103720792e-002	-9.942936e+000
8.021423978720790e-002	-9.941353e+000
8.050720853720789e-002	-9.939761e+000
8.080017728720787e-002	-9.938161e+000
8.109314603720785e-002	-9.936550e+000
8.128845853720784e-002	-9.935471e+000
8.148377103720783e-002	-9.934385e+000
8.158142728720783e-002	-9.933841e+000
8.167908353720782e-002	-9.933294e+000
8.177673978720781e-002	-9.932747e+000
8.187439603720781e-002	-9.932199e+000
8.197205228720780e-002	-9.931648e+000
8.206970853720780e-002	-9.931095e+000
8.216736478720779e-002	-9.930542e+000
8.226502103720779e-002	-9.929986e+000
8.236267728720778e-002	-9.929429e+000
8.246033353720778e-002	-9.928869e+000
8.255798978720777e-002	-9.928308e+000
8.265564603720776e-002	-9.927746e+000
