# time	V(rect_+)	V(rect_-)
5.148415280329068e-002	1.172625e+001	-1.172625e+001
5.158180905329068e-002	1.241763e+001	-1.241763e+001
5.167946530329068e-002	1.309202e+001	-1.309202e+001
5.187477780329068e-002	1.438614e+001	-1.438614e+001
5.207009030329068e-002	1.560151e+001	-1.560151e+001
5.226540280329069e-002	1.673148e+001	-1.673148e+001
5.255837155329069e-002	1.825296e+001	-1.825296e+001
5.285134030329070e-002	1.954987e+001	-1.954987e+001
5.314430905329070e-002	2.060632e+001	-2.060632e+001
5.343727780329070e-002	2.140938e+001	-2.140938e+001
5.373024655329071e-002	2.194923e+001	-2.194923e+001
5.402321530329071e-002	2.221925e+001	-2.221925e+001
5.431618405329072e-002	2.221616e+001	-2.221616e+001
5.460915280329072e-002	2.193998e+001	-2.193998e+001
5.490212155329072e-002	2.139409e+001	-2.139409e+001
5.519509030329073e-002	2.058518e+001	-2.058518e+001
5.548805905329073e-002	1.952313e+001	-1.952313e+001
5.578102780329074e-002	1.822095e+001	-1.822095e+001
5.607399655329074e-002	1.669460e+001	-1.669460e+001
5.636696530329075e-002	1.496279e+001	-1.496279e+001
5.665993405329075e-002	1.304680e+001	-1.304680e+001
5.695290280329075e-002	1.097026e+001	-1.097026e+001
5.724587155329076e-002	8.758924e+000	-8.758924e+000
5.753884030329076e-002	6.440622e+000	-6.440622e+000
5.783180905329077e-002	4.045718e+000	-4.045718e+000
5.812477780329077e-002	1.612409e+000	-1.612409e+000
5.822243405329077e-002	8.156322e-001	-8.156322e-001
5.832009030329077e-002	6.729859e-002	-6.729859e-002
5.833229733454078e-002	5.576266e-003	-5.576266e-003
5.833534909235327e-002	5.290991e-003	-5.290991e-003
5.834145260797827e-002	2.911977e-002	-2.911977e-002
5.835365963922828e-002	1.032595e-001	-1.032595e-001
5.837807370172828e-002	2.836323e-001	-2.836323e-001
5.842690182672827e-002	6.740060e-001	-6.740060e-001
5.852455807672827e-002	1.477135e+000	-1.477135e+000
5.881752682672828e-002	3.911570e+000	-3.911570e+000
5.911049557672828e-002	6.310046e+000	-6.310046e+000
5.940346432672829e-002	8.633592e+000	-8.633592e+000
5.969643307672829e-002	1.085182e+001	-1.085182e+001
5.998940182672830e-002	1.293680e+001	-1.293680e+001
6.028237057672830e-002	1.486263e+001	-1.486263e+001
6.057533932672830e-002	1.660558e+001	-1.660558e+001
6.086830807672831e-002	1.814423e+001	-1.814423e+001
6.116127682672831e-002	1.945969e+001	-1.945969e+001
6.145424557672832e-002	2.053586e+001	-2.053586e+001
6.174721432672832e-002	2.135956e+001	-2.135956e+001
6.204018307672832e-002	2.192072e+001	-2.192072e+001
6.233315182672833e-002	2.221245e+001	-2.221245e+001
6.262612057672833e-002	2.223121e+001	-2.223121e+001
6.291908932672831e-002	2.197676e+001	-2.197676e+001
6.321205807672829e-002	2.145221e+001	-2.145221e+001
6.350502682672828e-002	2.066398e+001	-2.066398e+001
6.379799557672826e-002	1.962171e+001	-1.962171e+001
6.409096432672824e-002	1.833816e+001	-1.833816e+001
6.438393307672823e-002	1.682906e+001	-1.682906e+001
6.457924557672821e-002	1.570671e+001	-1.570671e+001
6.477455807672820e-002	1.449842e+001	-1.449842e+001
6.496987057672819e-002	1.321079e+001	-1.321079e+001
6.506752682672819e-002	1.253941e+001	-1.253941e+001
6.516518307672818e-002	1.185088e+001	-1.185088e+001
6.526283932672818e-002	1.114615e+001	-1.114615e+001
6.536049557672817e-002	1.042618e+001	-1.042618e+001
6.545815182672816e-002	9.691985e+000	-9.691985e+000
6.555580807672816e-002	8.944580e+000	-8.944580e+000
6.565346432672815e-002	8.185015e+000	-8.185015e+000
6.575112057672815e-002	7.414367e+000	-7.414367e+000
6.584877682672814e-002	6.633741e+000	-6.633741e+000
6.594643307672814e-002	5.844285e+000	-5.844285e+000
6.604408932672813e-002	5.047191e+000	-5.047191e+000
6.614174557672813e-002	4.243733e+000	-4.243733e+000
6.623940182672812e-002	3.435320e+000	-3.435320e+000
6.633705807672811e-002	2.623644e+000	-2.623644e+000
6.643471432672811e-002	1.811159e+000	-1.811159e+000
6.653237057672810e-002	1.005544e+000	-1.005544e+000
6.663002682672810e-002	2.137007e-001	-2.137007e-001
