time	V(rect_+)	V(rect_-)
3.310489041816954e-002	2.073013e+001	-2.059096e+001
3.320254666816954e-002	2.070368e+001	-2.056121e+001
3.330020291816954e-002	2.067730e+001	-2.053154e+001
3.339785916816954e-002	2.065097e+001	-2.050196e+001
3.349551541816954e-002	2.062470e+001	-2.047245e+001
3.359317166816955e-002	2.059850e+001	-2.044302e+001
3.369082791816955e-002	2.057236e+001	-2.041368e+001
3.378848416816955e-002	2.054628e+001	-2.038441e+001
3.388614041816955e-002	2.052027e+001	-2.035523e+001
3.398379666816955e-002	2.049431e+001	-2.032612e+001
3.408145291816955e-002	2.046841e+001	-2.029710e+001
3.417910916816955e-002	2.044258e+001	-2.026815e+001
3.427676541816956e-002	2.041680e+001	-2.023928e+001
3.437442166816956e-002	2.039109e+001	-2.021049e+001
3.447207791816956e-002	2.036543e+001	-2.018178e+001
3.456973416816956e-002	2.033984e+001	-2.015314e+001
3.466739041816956e-002	2.031430e+001	-2.012459e+001
3.476504666816956e-002	2.028883e+001	-2.009611e+001
3.486270291816956e-002	2.026341e+001	-2.006771e+001
3.496035916816957e-002	2.023805e+001	-2.003939e+001
3.505801541816957e-002	2.021275e+001	-2.001114e+001
3.525332791816957e-002	2.016233e+001	-1.995488e+001
3.544864041816957e-002	2.011214e+001	-1.989893e+001
3.564395291816958e-002	2.006218e+001	-1.984327e+001
3.593692166816958e-002	1.998766e+001	-1.976036e+001
3.613223416816958e-002	1.993825e+001	-1.970546e+001
3.622989041816958e-002	1.991364e+001	-1.967871e+001
3.632754666816958e-002	1.988928e+001	-1.966504e+001
3.642520291816959e-002	1.987991e+001	-1.971274e+001
3.652285916816959e-002	1.994405e+001	-1.989048e+001
3.662051541816959e-002	2.016603e+001	-2.021374e+001
3.671817166816959e-002	2.056265e+001	-2.061715e+001
3.681582791816959e-002	2.102219e+001	-2.101066e+001
3.691348416816959e-002	2.137610e+001	-2.132377e+001
3.701114041816959e-002	2.154159e+001	-2.151076e+001
3.710879666816960e-002	2.157267e+001	-2.157185e+001
3.720645291816960e-002	2.156864e+001	-2.157015e+001
3.730410916816960e-002	2.158429e+001	-2.158230e+001
3.740176541816960e-002	2.163302e+001	-2.163469e+001
3.749942166816960e-002	2.170350e+001	-2.170552e+001
3.759707791816960e-002	2.176160e+001	-2.175934e+001
3.769473416816960e-002	2.177979e+001	-2.177366e+001
3.779239041816961e-002	2.176417e+001	-2.175485e+001
3.789004666816961e-002	2.173653e+001	-2.172352e+001
3.798770291816961e-002	2.170769e+001	-2.169068e+001
3.808535916816961e-002	2.167892e+001	-2.165793e+001
3.828067166816961e-002	2.162157e+001	-2.159268e+001
3.857364041816962e-002	2.153607e+001	-2.149547e+001
3.886660916816962e-002	2.145117e+001	-2.139906e+001
3.915957791816963e-002	2.136688e+001	-2.130345e+001
3.945254666816963e-002	2.128319e+001	-2.120861e+001
3.974551541816963e-002	2.120010e+001	-2.111456e+001
4.003848416816964e-002	2.111760e+001	-2.102127e+001
4.033145291816964e-002	2.103569e+001	-2.092875e+001
4.062442166816965e-002	2.095436e+001	-2.083698e+001
4.091739041816965e-002	2.087360e+001	-2.074597e+001
4.121035916816965e-002	2.079342e+001	-2.065570e+001
4.150332791816966e-002	2.071381e+001	-2.056617e+001
4.179629666816966e-002	2.063476e+001	-2.047736e+001
4.208926541816967e-002	2.055627e+001	-2.038929e+001
4.238223416816967e-002	2.047833e+001	-2.030193e+001
4.267520291816968e-002	2.040093e+001	-2.021529e+001
4.296817166816968e-002	2.032408e+001	-2.012935e+001
4.326114041816968e-002	2.024776e+001	-2.004411e+001
4.355410916816969e-002	2.017197e+001	-1.995956e+001
4.384707791816969e-002	2.009670e+001	-1.987570e+001
4.414004666816970e-002	2.002195e+001	-1.979253e+001
4.443301541816970e-002	1.994770e+001	-1.971002e+001
4.453067166816970e-002	1.992306e+001	-1.968269e+001
4.462832791816970e-002	1.989848e+001	-1.966112e+001
4.472598416816970e-002	1.988297e+001	-1.968101e+001
4.482364041816971e-002	1.991843e+001	-1.981450e+001
4.492129666816971e-002	2.008256e+001	-2.010248e+001
4.501895291816971e-002	2.042468e+001	-2.049524e+001
4.511660916816971e-002	2.087953e+001	-2.089740e+001
4.521426541816971e-002	2.128310e+001	-2.123451e+001
4.531192166816971e-002	2.150980e+001	-2.145961e+001
4.540957791816971e-002	2.157231e+001	-2.155710e+001
4.550723416816972e-002	2.156710e+001	-2.157129e+001
4.560489041816972e-002	2.157136e+001	-2.157925e+001
4.570254666816972e-002	2.161495e+001	-2.162086e+001
4.580020291816972e-002	2.168930e+001	-2.168772e+001
4.589785916816972e-002	2.175772e+001	-2.175091e+001
